,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,693245,Primery School Vavol,Primery School Vavol,Gujarat,Gandhinagar Corporation,Gandhinagar Municipal Corporation,382016,23,72,09:00:00,17:00:00,Free,"[{'session_id': '60c460ef-39e8-4278-8bb2-462fba3aca4f', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-10 09:31:04.118567
0,376433,Govt School Sec-15,Govt School Sec-15,Gujarat,Gandhinagar Corporation,Gandhinagar Municipal Corporation,382016,23,72,09:00:00,17:00:00,Free,"[{'session_id': '688e3621-d290-478f-af3a-4f5117ed8fb7', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-10 09:38:38.852656
1,693245,Primery School Vavol,Primery School Vavol,Gujarat,Gandhinagar Corporation,Gandhinagar Municipal Corporation,382016,23,72,09:00:00,17:00:00,Free,"[{'session_id': '60c460ef-39e8-4278-8bb2-462fba3aca4f', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-10 09:38:38.852656
0,376433,Govt School Sec-15,Govt School Sec-15,Gujarat,Gandhinagar Corporation,Gandhinagar Municipal Corporation,382016,23,72,09:00:00,17:00:00,Free,"[{'session_id': '688e3621-d290-478f-af3a-4f5117ed8fb7', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-10 09:46:08.246210
1,693245,Primery School Vavol,Primery School Vavol,Gujarat,Gandhinagar Corporation,Gandhinagar Municipal Corporation,382016,23,72,09:00:00,17:00:00,Free,"[{'session_id': '60c460ef-39e8-4278-8bb2-462fba3aca4f', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-10 09:46:08.246210
0,376433,Govt School Sec-15,Govt School Sec-15,Gujarat,Gandhinagar Corporation,Gandhinagar Municipal Corporation,382016,23,72,09:00:00,17:00:00,Free,"[{'session_id': '688e3621-d290-478f-af3a-4f5117ed8fb7', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-10 09:53:39.492759
1,693245,Primery School Vavol,Primery School Vavol,Gujarat,Gandhinagar Corporation,Gandhinagar Municipal Corporation,382016,23,72,09:00:00,17:00:00,Free,"[{'session_id': '60c460ef-39e8-4278-8bb2-462fba3aca4f', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-10 09:53:39.492759
0,376433,Govt School Sec-15,Govt School Sec-15,Gujarat,Gandhinagar Corporation,Gandhinagar Municipal Corporation,382016,23,72,09:00:00,17:00:00,Free,"[{'session_id': '688e3621-d290-478f-af3a-4f5117ed8fb7', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-10 10:01:10.581745
1,693245,Primery School Vavol,Primery School Vavol,Gujarat,Gandhinagar Corporation,Gandhinagar Municipal Corporation,382016,23,72,09:00:00,17:00:00,Free,"[{'session_id': '60c460ef-39e8-4278-8bb2-462fba3aca4f', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-10 10:01:10.581745
0,376433,Govt School Sec-15,Govt School Sec-15,Gujarat,Gandhinagar Corporation,Gandhinagar Municipal Corporation,382016,23,72,09:00:00,17:00:00,Free,"[{'session_id': '688e3621-d290-478f-af3a-4f5117ed8fb7', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-10 10:08:41.404278
1,693245,Primery School Vavol,Primery School Vavol,Gujarat,Gandhinagar Corporation,Gandhinagar Municipal Corporation,382016,23,72,09:00:00,17:00:00,Free,"[{'session_id': '60c460ef-39e8-4278-8bb2-462fba3aca4f', 'date': '11-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']}]",2021-05-10 10:08:41.404278
