,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,602375,Vadiyavir Subcentre,Vadiyavir Subcentre,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': 'ee405bdf-8db7-43a5-abe1-b9b47f28f46c', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 10:42:44.461733
1,602330,Goral Sub Center,Goral SC Taluka Idar,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': '711753e9-0e84-45aa-9db9-484a3797854a', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 10:42:44.461733
0,602375,Vadiyavir Subcentre,Vadiyavir Subcentre,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': 'ee405bdf-8db7-43a5-abe1-b9b47f28f46c', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 10:49:06.834148
1,602330,Goral Sub Center,Goral SC Taluka Idar,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': '711753e9-0e84-45aa-9db9-484a3797854a', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 10:49:06.834148
0,602375,Vadiyavir Subcentre,Vadiyavir Subcentre,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': 'ee405bdf-8db7-43a5-abe1-b9b47f28f46c', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 10:55:33.681641
1,602330,Goral Sub Center,Goral SC Taluka Idar,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': '711753e9-0e84-45aa-9db9-484a3797854a', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 10:55:33.681641
0,602375,Vadiyavir Subcentre,Vadiyavir Subcentre,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': 'ee405bdf-8db7-43a5-abe1-b9b47f28f46c', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 11:02:05.123939
1,602330,Goral Sub Center,Goral SC Taluka Idar,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': '711753e9-0e84-45aa-9db9-484a3797854a', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 11:02:05.123939
0,602375,Vadiyavir Subcentre,Vadiyavir Subcentre,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': 'ee405bdf-8db7-43a5-abe1-b9b47f28f46c', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 11:08:31.262901
1,602330,Goral Sub Center,Goral SC Taluka Idar,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': '711753e9-0e84-45aa-9db9-484a3797854a', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 11:08:31.262901
0,602375,Vadiyavir Subcentre,Vadiyavir Subcentre,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': 'ee405bdf-8db7-43a5-abe1-b9b47f28f46c', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 11:14:53.582478
1,602330,Goral Sub Center,Goral SC Taluka Idar,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': '711753e9-0e84-45aa-9db9-484a3797854a', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 11:14:53.582478
0,602375,Vadiyavir Subcentre,Vadiyavir Subcentre,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': 'ee405bdf-8db7-43a5-abe1-b9b47f28f46c', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 11:21:23.618291
1,602330,Goral Sub Center,Goral SC Taluka Idar,Gujarat,Sabarkantha,idar,383410,23,73,09:00:00,18:00:00,Free,"[{'session_id': '711753e9-0e84-45aa-9db9-484a3797854a', 'date': '09-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-06:00PM']}]",2021-05-09 11:21:23.618291
