,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,timestamp
0,563220,Atladara UPHC 1,Gyanyagna School Atladara Vadodara,Gujarat,Vadodara Corporation,West Zone,390012,22,73,10:00:00,13:00:00,Free,"[{'session_id': 'd9dd55aa-9630-4d0d-8bea-9e775ad9eee4', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}]",2021-05-10 07:39:17.012901
1,662831,TREE HOUSE SCHOOL 18 Above,MADHAVNAGAR NEAR ATLADARA WATER TANK ATLADARA,Gujarat,Vadodara Corporation,West Zone,390012,73,22,10:30:00,13:00:00,Free,"[{'session_id': '33fd5ad7-295b-4b7f-b184-b456b796d81d', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:30AM-12:30PM', '12:30PM-01:00PM']}]",2021-05-10 07:39:17.012901
0,563220,Atladara UPHC 1,Gyanyagna School Atladara Vadodara,Gujarat,Vadodara Corporation,West Zone,390012,22,73,10:00:00,13:00:00,Free,"[{'session_id': 'd9dd55aa-9630-4d0d-8bea-9e775ad9eee4', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}]",2021-05-10 07:46:45.545356
1,662831,TREE HOUSE SCHOOL 18 Above,MADHAVNAGAR NEAR ATLADARA WATER TANK ATLADARA,Gujarat,Vadodara Corporation,West Zone,390012,73,22,10:30:00,13:00:00,Free,"[{'session_id': '33fd5ad7-295b-4b7f-b184-b456b796d81d', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:30AM-12:30PM', '12:30PM-01:00PM']}]",2021-05-10 07:46:45.545356
0,563220,Atladara UPHC 1,Gyanyagna School Atladara Vadodara,Gujarat,Vadodara Corporation,West Zone,390012,22,73,10:00:00,13:00:00,Free,"[{'session_id': 'd9dd55aa-9630-4d0d-8bea-9e775ad9eee4', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}]",2021-05-10 07:54:12.644768
1,662831,TREE HOUSE SCHOOL 18 Above,MADHAVNAGAR NEAR ATLADARA WATER TANK ATLADARA,Gujarat,Vadodara Corporation,West Zone,390012,73,22,10:30:00,13:00:00,Free,"[{'session_id': '33fd5ad7-295b-4b7f-b184-b456b796d81d', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:30AM-12:30PM', '12:30PM-01:00PM']}]",2021-05-10 07:54:12.644768
0,563220,Atladara UPHC 1,Gyanyagna School Atladara Vadodara,Gujarat,Vadodara Corporation,West Zone,390012,22,73,10:00:00,13:00:00,Free,"[{'session_id': 'd9dd55aa-9630-4d0d-8bea-9e775ad9eee4', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}]",2021-05-10 08:01:36.273245
1,662831,TREE HOUSE SCHOOL 18 Above,MADHAVNAGAR NEAR ATLADARA WATER TANK ATLADARA,Gujarat,Vadodara Corporation,West Zone,390012,73,22,10:30:00,13:00:00,Free,"[{'session_id': '33fd5ad7-295b-4b7f-b184-b456b796d81d', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:30AM-12:30PM', '12:30PM-01:00PM']}]",2021-05-10 08:01:36.273245
0,563220,Atladara UPHC 1,Gyanyagna School Atladara Vadodara,Gujarat,Vadodara Corporation,West Zone,390012,22,73,10:00:00,13:00:00,Free,"[{'session_id': 'd9dd55aa-9630-4d0d-8bea-9e775ad9eee4', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}]",2021-05-10 08:08:59.866790
1,662831,TREE HOUSE SCHOOL 18 Above,MADHAVNAGAR NEAR ATLADARA WATER TANK ATLADARA,Gujarat,Vadodara Corporation,West Zone,390012,73,22,10:30:00,13:00:00,Free,"[{'session_id': '33fd5ad7-295b-4b7f-b184-b456b796d81d', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:30AM-12:30PM', '12:30PM-01:00PM']}]",2021-05-10 08:08:59.866790
0,563220,Atladara UPHC 1,Gyanyagna School Atladara Vadodara,Gujarat,Vadodara Corporation,West Zone,390012,22,73,10:00:00,13:00:00,Free,"[{'session_id': 'd9dd55aa-9630-4d0d-8bea-9e775ad9eee4', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}]",2021-05-10 08:16:26.677033
1,662831,TREE HOUSE SCHOOL 18 Above,MADHAVNAGAR NEAR ATLADARA WATER TANK ATLADARA,Gujarat,Vadodara Corporation,West Zone,390012,73,22,10:30:00,13:00:00,Free,"[{'session_id': '33fd5ad7-295b-4b7f-b184-b456b796d81d', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:30AM-12:30PM', '12:30PM-01:00PM']}]",2021-05-10 08:16:26.677033
0,563220,Atladara UPHC 1,Gyanyagna School Atladara Vadodara,Gujarat,Vadodara Corporation,West Zone,390012,22,73,10:00:00,13:00:00,Free,"[{'session_id': 'd9dd55aa-9630-4d0d-8bea-9e775ad9eee4', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}]",2021-05-10 08:23:55.381227
1,662831,TREE HOUSE SCHOOL 18 Above,MADHAVNAGAR NEAR ATLADARA WATER TANK ATLADARA,Gujarat,Vadodara Corporation,West Zone,390012,73,22,10:30:00,13:00:00,Free,"[{'session_id': '33fd5ad7-295b-4b7f-b184-b456b796d81d', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:30AM-12:30PM', '12:30PM-01:00PM']}]",2021-05-10 08:23:55.381227
0,563220,Atladara UPHC 1,Gyanyagna School Atladara Vadodara,Gujarat,Vadodara Corporation,West Zone,390012,22,73,10:00:00,13:00:00,Free,"[{'session_id': 'd9dd55aa-9630-4d0d-8bea-9e775ad9eee4', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}]",2021-05-10 08:31:19.666272
1,662831,TREE HOUSE SCHOOL 18 Above,MADHAVNAGAR NEAR ATLADARA WATER TANK ATLADARA,Gujarat,Vadodara Corporation,West Zone,390012,73,22,10:30:00,13:00:00,Free,"[{'session_id': '33fd5ad7-295b-4b7f-b184-b456b796d81d', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:30AM-12:30PM', '12:30PM-01:00PM']}]",2021-05-10 08:31:19.666272
0,563220,Atladara UPHC 1,Gyanyagna School Atladara Vadodara,Gujarat,Vadodara Corporation,West Zone,390012,22,73,10:00:00,13:00:00,Free,"[{'session_id': 'd9dd55aa-9630-4d0d-8bea-9e775ad9eee4', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}]",2021-05-10 08:38:46.428380
1,662831,TREE HOUSE SCHOOL 18 Above,MADHAVNAGAR NEAR ATLADARA WATER TANK ATLADARA,Gujarat,Vadodara Corporation,West Zone,390012,73,22,10:30:00,13:00:00,Free,"[{'session_id': '33fd5ad7-295b-4b7f-b184-b456b796d81d', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:30AM-12:30PM', '12:30PM-01:00PM']}]",2021-05-10 08:38:46.428380
0,563220,Atladara UPHC 1,Gyanyagna School Atladara Vadodara,Gujarat,Vadodara Corporation,West Zone,390012,22,73,10:00:00,13:00:00,Free,"[{'session_id': 'd9dd55aa-9630-4d0d-8bea-9e775ad9eee4', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['10:00AM-12:00PM', '12:00PM-01:00PM']}]",2021-05-10 08:46:17.242475
1,662831,TREE HOUSE SCHOOL 18 Above,MADHAVNAGAR NEAR ATLADARA WATER TANK ATLADARA,Gujarat,Vadodara Corporation,West Zone,390012,73,22,10:30:00,13:00:00,Free,"[{'session_id': '33fd5ad7-295b-4b7f-b184-b456b796d81d', 'date': '10-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['10:30AM-12:30PM', '12:30PM-01:00PM']}]",2021-05-10 08:46:17.242475
